,timestamp,tweet,keywords
7,2023-05-01 08:04:43,"RT @driscollis: #Python lists also support the ability to insert objects into a list. 🐍🔥

When you use `insert()`, you pass in the position…",Python
15,2023-04-01 15:04:06,"RT @marktenenholtz: Python is 100%, no doubt, a slow language.

But, 95%+ of your ML code probably runs in C anyways.

Unless you have a re…",Python
65,2022-30-12 17:32:16,"RT @svpino: 9 Python libraries that you haven't used before but are awesome:

1. Pillow: Image manipulation
2. Requests: HTTP requests
3. B…",Python
74,2022-29-12 10:51:36,RT @tunguz: What are your favorite Python libraries? https://t.co/3SAS8lEnv1,Python
82,2022-27-12 17:16:19,"Day 358 - #66DaysOfData
Streamlit is an open source python based framework for developing and deploying interactive… https://t.co/UbHoofoeX8",Python
84,2022-26-12 17:32:41,"Day 357 - #66DaysOfData
Generated a simple QR code that redirects to Twitter profile of mine using python module py… https://t.co/Go4xa5wNNd",Python
146,2022-20-12 00:06:53,RT @clcoding: QR Code generation using Python https://t.co/xjiF7UPiH6 https://t.co/rRA4EwtyJE,Python
155,2022-19-12 13:41:24,"RT @itsafiz: Become a Google Certified Data Scientist for FREE

From the Basics of Python to TensorFlow, Learn everything by spending $0…",Python
199,2022-14-12 05:32:16,"RT @s_gruppetta_ct: Who said the `turtle` module in Python is there just to draw boring squares and circles?

Here's one of the (many) Chri…",Python
200,2022-14-12 05:32:16,"RT @s_gruppetta_ct: Who said the `turtle` module in Python is there just to draw boring squares and circles?

Here's one of the (many) Chri…",Python
208,2022-13-12 15:33:36,RT @driscollis: I'm going to start giving away hundreds of #Python books later this week! Make a New Year's resolution to start learning Py…,Python
223,2022-12-12 00:47:56,"RT @DanKornas: Machine Learning Basics

This repository contains implementations of basic ML algorithms in plain Python, which will provide…",Python
228,2022-11-12 15:55:44,"RT @patloeber: New video!

Best Platforms to Host Python Apps (for free!)

https://t.co/6StP1sPjI6 https://t.co/FZZ4xwiW5c",Python
240,2022-10-12 00:52:42,RT @Comp_Sci_bot: ['RT @DataScienceDojo: 💡 Here is a list of Python project ideas!\n\n#Python #ProjectIdeas #DataScience https://t.co/71VEF…,Python
256,2022-08-12 01:10:57,"RT @DataScienceDojo: 💡Here is an amazing Python cheatsheet!
Source: Hack University

#Python #CheatSheet #DataScience https://t.co/uXFsX6xI…",Python
275,2022-04-12 16:55:19,"Day 335 - #66DaysOfData
Today I spent my time leisurely, tried some python quizzes and watched this amazing video r… https://t.co/R8rJfp5E6j",Python
345,2022-23-11 14:09:10,"RT @KirkDBorne: Scraping Data from Google Search Using #Python and Scrapy: https://t.co/dyQhraRGN5
——————
#WebScraping #abdsc #BigData #Dat…",Python
354,2022-23-11 01:02:24,"RT @driscollis: Teach Me Python is also doing a Black Friday Sale.

Start learning some #Python today and get 20% off!

🐍 Subscriptions
🐍 P…",Python
375,2022-20-11 02:23:22,"RT @Nilofer_tweets: Learn Data Science with Python for FREE from Google

Course Link 🧵👇 https://t.co/ZBGe3trUcC",Python
397,2022-17-11 03:01:29,"RT @KirkDBorne: [Free PDF Download] #Python Machine Learning Projects: https://t.co/txdGjGN6sa
————
#BigData #DataScience #AI #MachineLearn…",Python
444,2022-08-11 16:49:07,"Day 309 - #66DaysOfData
Read some documentation related to Kaggle competitions and scraping instagram with python u… https://t.co/wwwpNASKDS",Python
451,2022-04-11 18:38:32,@DataScienceDojo Python student 🌚🖤,Python
471,2022-01-11 05:41:20,RT @svpino: I can't get over how easy it is to swap two variables in Python. https://t.co/MkZqal0wYq,Python
613,2022-17-09 17:33:41,"@svpino Yeah. Because of Scikit-learn , Pandas like libraries.  Python ❤️",Python
717,2022-01-08 17:50:25,"So here you can see some time complexities for the Python List Operations to be aware more. 😊♥️

https://t.co/i75NJ6qjQ4",Python
718,2022-01-08 17:50:24,With a normal list we have to go through every element to find the length but Python does some behind the scenes wo… https://t.co/SyIQiClvMb,Python
719,2022-01-08 17:50:23,"Day 210 - #66DaysOfData
Today I learnt about Python Lists further.

Actually we all use lists everyday. 

But,  

F… https://t.co/4HhGy0Wq2d",Python
794,2022-28-06 16:47:05,@Ak_Python Thank you for commenting ❤️ Yeah I'm thinking about this these days,Python
835,2022-09-06 12:42:22,"I'm so happy to share that I obtained my @IBM Machine Learning with Python certificate on @coursera. 👀✨

This is th… https://t.co/cv6DBYxDZB",Python
837,2022-07-06 16:32:08,@tunguz Maybe one day she will learn python and put him in [1] too. That day that bf will regret and he will not re… https://t.co/DghGqqPwCe,Python
840,2022-05-06 17:32:00,"Day 153 - #66DaysOfData
Working on week 6 tasks in Machine Learning with Python IBM Course 😊♥️

#machinelearning #python",Python
843,2022-03-06 16:20:40,"Day 151 - #66DaysOfData
Working on week 6 tasks in Machine Learning with Python IBM Course 😊♥️

#machinelearning #python",Python
845,2022-01-06 16:03:07,"Day 149 - #66DaysOfData
Working on week 6 tasks in Machine Learning with Python IBM Course 😊♥️

#machinelearning #python",Python
846,2022-31-05 16:40:22,"Day 148 - #66DaysOfData
Working on week 6 tasks in Machine Learning with Python IBM Course 😊♥️

#machinelearning #python",Python
848,2022-30-05 17:11:20,"Day 147 - #66DaysOfData
Completed week 5 tasks in Machine Learning with Python IBM Course 😊♥️

#machinelearning #python",Python
850,2022-29-05 16:24:55,@Ellabyworldspac @ML_Tweet_Bot Python,Python
855,2022-26-05 15:34:46,"Day 143 - #66DaysOfData
Started working on week 5 tasks in Machine Learning with Python IBM Course 😊♥️

#machinelearning #python",Python
857,2022-25-05 16:08:58,"Day 142 - #66DaysOfData
Completed week 4 tasks in Machine Learning with Python IBM Course 😊♥️

#machinelearning #python",Python
858,2022-24-05 18:01:58,"Day 141 - #66DaysOfData
Working on week 4 tasks in Machine Learning with Python IBM Course 😊♥️

#machinelearning #python",Python
860,2022-23-05 17:24:50,"Day 140 - #66DaysOfData
Completed week 3 tasks in Machine Learning with Python IBM Course 😊♥️

#python #machinelearning",Python
861,2022-22-05 17:49:13,"Day 139 - #66DaysOfData
Working on week 3 tasks in Machine Learning with Python IBM Course 😊♥️

#python #machinelearning",Python
862,2022-21-05 18:11:04,"Day 138 - #66DaysOfData
Completed week 2 tasks in Machine Learning with Python IBM Course 😊♥️

#machinelearning #python",Python
864,2022-20-05 15:36:47,"Day 137 - #66DaysOfData
Following the Machine Learning with Python IBM Course 😊♥️

#machinelearning #python",Python
866,2022-18-05 16:34:02,"Day 135 - #66DaysOfData
Following the Machine Learning with Python IBM Course 😊♥️

#python #machinelearning",Python
871,2022-16-05 17:09:53,"Day 133 - #66DaysOfData
Working on week 2 tasks in Machine Learning with Python IBM Course 😊♥️

#python #machinelearning",Python
872,2022-15-05 16:36:23,"Day 132 - #66DaysOfData
Today I completed week one tasks in Machine Learning with Python IBM Course on Coursera.… https://t.co/D6Ta7NXiUK",Python
875,2022-14-05 17:56:17,"Day 131 - #66DaysOfData
Today I completed the Data Visualization with Python IBM course and obtained the certificat… https://t.co/dOpF7QytuA",Python
876,2022-14-05 17:47:24,I'm really happy to tell you all that today I obtained my @IBM Data Visualization with Python certificate on… https://t.co/NBFLZUea0u,Python
878,2022-13-05 16:54:59,"Day 130 - #66DaysOfData
Today I completed the week 5 Final Assignment in Data Visualization with Python IBM course.… https://t.co/eQW79gLDoD",Python
881,2022-12-05 18:14:18,"Day 129 - #66DaysOfData
Working on week 5 final assignment in Data Visualization with Python IBM course. 😊♥️

#python #datavisualization",Python
882,2022-11-05 16:44:32,"Day 128 - #66DaysOfData
Today I completed week 5 practice assignment in Data Visualization with Python IBM course.… https://t.co/dI12cC4Xhe",Python
886,2022-07-05 18:38:02,"Day 124 - #66DaysOfData
Completed week 4 tasks in Data Visualization with Python IBM course. 😊♥️

#python #datavisualization",Python
888,2022-06-05 16:16:04,"Day 123 - #66DaysOfData
Working on week 4 tasks in Data Visualization with Python IBM course. 😊♥️

#datavisualization #python",Python
889,2022-05-05 16:31:32,"Day 122 - #66DaysOfData
Working on week 4 tasks in Data Visualization with Python IBM course. 😊♥️

#python #datavisualization",Python
890,2022-04-05 16:25:15,"Day 121 - #66DaysOfData
Working on week 4 tasks in Data Visualization with Python IBM course. This is my first expe… https://t.co/enFhdhtWm5",Python
894,2022-03-05 16:10:09,"Day 120 - #66DaysOfData
Working on week 4 tasks in Data Visualization with Python IBM course. 😊♥️

#datavisualization #python",Python
896,2022-02-05 15:44:36,"Day 119 - #66DaysOfData
Completed week 3 tasks in Data Visualization with Python IBM course. I had a new experience… https://t.co/YoEavoSYdk",Python
898,2022-02-05 03:21:29,"RT @DanKornas: 🐍 PyScript 🚀

A framework that allows users to create rich Python applications IN THE BROWSER using a mix of #Python with st…",Python
899,2022-01-05 16:41:29,"Day 118 - #66DaysOfData
Working on week 3 tasks in Data Visualization with Python IBM course 😊♥️

#datavisualization #python",Python
900,2022-30-04 17:47:57,"Day 117 - #66DaysOfData
Working on week 3 tasks in Data Visualization with Python IBM course 😊♥️

#datavisualization #python",Python
901,2022-29-04 15:44:22,"Day 116 - #66DaysOfData
Started week 3 tasks in Data Visualization with Python IBM course 😊♥️

#datavisualization #python",Python
903,2022-28-04 15:43:05,"Day 115 - #66DaysOfData
Completed week 2 tasks in Data Visualization with Python IBM course 😊♥️

#python #DataVisualization",Python
904,2022-27-04 16:04:55,"Day 114 - #66DaysOfData
Working on week 2 tasks in Data Visualization with Python IBM course 😊♥️

#datavisualization #python",Python
